address,city,country,name,name_url,num_animals,num_species,state
1730 South Washington Avenue,Saginaw,United States,Saginaw Children's Zoo,https://en.wikipedia.org/wiki/Children%27s_Zoo_at_Celebration_Square,150,150,Michigan
71 S Country Club Road,Decatur,United States,Scovill Zoo,https://en.wikipedia.org/wiki/Scovill_Zoo,400,400,Illinois
355 Julia Davis Drive,Boise,United States,Zoo Boise,https://en.wikipedia.org/wiki/Zoo_Boise,,,Idaho
525 rue St-Hubert,Granby,Canada,Zoo de Granby,https://en.wikipedia.org/wiki/Granby_Zoo,"1,000","1,000",Quebec
601 N 59th St,Seattle,United States,Woodland Park Zoo,https://en.wikipedia.org/wiki/Woodland_Park_Zoo,"1,098","1,098",Washington
14000 International Road,Cumberland,United States,The Wilds,https://en.wikipedia.org/wiki/The_Wilds,>300,>300,Ohio
1790 Safari Rd,Winston,United States,Wildlife Safari,https://en.wikipedia.org/wiki/Wildlife_Safari,600,600,Oregon
75 Gashes Creek Road,Asheville,United States,Western North Carolina Nature Center,https://en.wikipedia.org/wiki/Western_North_Carolina_Nature_Center,60+,60+,North Carolina
800 Cherokee Avenue SE,Atlanta,United States,Zoo Atlanta,https://en.wikipedia.org/wiki/Zoo_Atlanta,"1,500","1,500",Georgia
3500 Granby Street,Norfolk,United States,Virginia Zoological Park,https://en.wikipedia.org/wiki/Virginia_Zoological_Park,350,350,Virginia
5701 Gulf Breeze Pkwy,Gulf Breeze,United States,The Zoo Northwest Florida,https://en.wikipedia.org/wiki/The_Zoo_Northwest_Florida,900,900,Florida
1001 Fairgrounds Dr,Vallejo,United States,Six Flags Discovery Kingdom,https://en.wikipedia.org/wiki/Six_Flags_Discovery_Kingdom,,,California
1801 E Chestnut Ave,Santa Ana,United States,Santa Ana Zoo,https://en.wikipedia.org/wiki/Santa_Ana_Zoo,250,250,California
7340 Butler St,Pittsburgh,United States,Pittsburgh Zoo & PPG Aquarium,https://en.wikipedia.org/wiki/Pittsburgh_Zoo_%26_PPG_Aquarium,"Over 4,000","Over 4,000",Pennsylvania
13010 Niabi Zoo Rd,Coal Valley,United States,Niabi Zoo,https://en.wikipedia.org/wiki/Niabi_Zoo,,,Illinois
2301 Coliseum Pkwy,Montgomery,United States,Montgomery Zoo,https://en.wikipedia.org/wiki/Montgomery_Zoo,750,750,Alabama
151 Kapahulu Ave,Honolulu,United States,Honolulu Zoo,https://en.wikipedia.org/wiki/Honolulu_Zoo,"1,230","1,230",Hawaii
Mill Mountain Spur,Roanoke,United States,Mill Mountain Zoo,https://en.wikipedia.org/wiki/Mill_Mountain_Zoo,85,85,Virginia
2918 W Capitol St,Jackson,United States,Jackson Zoo,https://en.wikipedia.org/wiki/Jackson_Zoological_Park,776,776,Mississippi
1100 E Lake Drive,Springfield,United States,Henson Robinson Zoo,https://en.wikipedia.org/wiki/Henson_Robinson_Zoo,300,300,Illinois
105 Chehaw Park Rd,Albany,United States,Chehaw Park,https://en.wikipedia.org/wiki/Chehaw_Park,212,212,Georgia
3601 Thomas Rd,Baker,United States,BREC's Baton Rouge Zoo,https://en.wikipedia.org/wiki/Baton_Rouge_Zoo,800,800,Louisiana
4777 Pierre-de-Coubertin,Montreal,Canada,Biodôme de Montreal,https://en.wikipedia.org/wiki/Montreal_Biodome,"4802 (excluding invertebrates), 1500 Plants","4802 (excluding invertebrates), 1500 Plants",Quebec
60 Morgan Rd,Binghamton,United States,Binghamton Zoo at Ross Park,https://en.wikipedia.org/wiki/Binghamton_Zoo_at_Ross_Park,180+,180+,New York
1321 N White Sands Blvd,Alamogordo,United States,Alameda Park Zoo,https://en.wikipedia.org/wiki/Alameda_Park_Zoo,265,265,New Mexico
581705 White Oak Road,Yulee,,White Oak Conservation,https://en.wikipedia.org/wiki/White_Oak_Conservation,200+,200+,Florida
-,Ojai,,Turtle Conservancy,https://en.wikipedia.org/wiki/Turtle_Conservancy,,,California
